,BTC,ETH,USDT,USDC,BNB,XRP,BUSD,DOGE,ADA,MATIC,timestamp,ValueCategory
43,322080.0,148740.0,66230.0,44710.0,39210.0,17410.0,16440.0,9470.0,8760.0,6820.0,2023-01-03 13:15:04.941605,Market Cap in M$
44,16853.3,1229.38,1.02,1.0,248.85,0.3506,1.0,0.07236,0.2577,0.7973,2023-01-03 13:20:02.473829,Price in $
45,11670.0,3010.0,15180.0,1640.0,298.0,925.0,3280.0,256.0,136.0,153.0,2023-01-03 13:20:02.479771,24h Volume in M$
46,0.08,-0.01,-0.02,-0.02,-0.74,0.95,0.01,-0.79,-0.08,0.38,2023-01-03 13:20:02.485008,24h Change in %
47,322080.0,148740.0,66230.0,44710.0,39210.0,17410.0,16440.0,9470.0,8760.0,6820.0,2023-01-03 13:20:02.490724,Market Cap in M$
48,16857.28,1230.2,1.02,1.0,249.08,0.352,1.0,0.07251,0.2579,0.7981,2023-01-03 13:22:55.648488,Price in $
49,11720.0,3020.0,15240.0,1640.0,299.0,924.0,3300.0,256.0,137.0,153.0,2023-01-03 13:22:55.654505,24h Volume in M$
50,0.08,0.08,-0.22,-0.01,-0.53,1.04,-0.01,-0.63,0.03,0.71,2023-01-03 13:22:55.659916,24h Change in %
51,322130.0,148830.0,66240.0,44710.0,39270.0,17450.0,16430.0,9480.0,8770.0,6830.0,2023-01-03 13:22:55.665654,Market Cap in M$
52,16851.01,1229.72,1.02,1.0,248.86,0.3514,1.0,0.0724,0.2576,0.7978,2023-01-03 13:30:03.982004,Price in $
53,11750.0,3020.0,15260.0,1640.0,299.0,926.0,3290.0,257.0,137.0,153.0,2023-01-03 13:30:03.988126,24h Volume in M$
54,0.07,-0.16,-0.22,-0.05,-0.82,0.41,0.0,-1.08,-0.36,0.35,2023-01-03 13:30:03.993686,24h Change in %
55,322060.0,148790.0,66240.0,44700.0,39240.0,17420.0,16440.0,9470.0,8760.0,6830.0,2023-01-03 13:30:03.999554,Market Cap in M$
56,16850.08,1229.47,1.02,1.0,248.91,0.3499,1.0,0.07249,0.2574,0.7975,2023-01-03 14:00:03.391878,Price in $
57,11750.0,3020.0,15260.0,1650.0,298.0,926.0,3290.0,251.0,137.0,154.0,2023-01-03 14:00:03.398295,24h Volume in M$
58,0.23,0.14,0.02,-0.02,-0.42,0.56,0.08,-0.51,0.26,0.65,2023-01-03 14:00:03.404220,24h Change in %
59,322240.0,148850.0,66240.0,44710.0,39260.0,17400.0,16440.0,9490.0,8750.0,6830.0,2023-01-03 14:00:03.410196,Market Cap in M$
60,16869.33,1231.42,1.02,1.0,249.46,0.3513,1.0,0.07271,0.2586,0.7999,2023-01-03 14:30:04.244684,Price in $
61,11850.0,3010.0,15480.0,1670.0,299.0,928.0,3370.0,252.0,137.0,154.0,2023-01-03 14:30:04.250712,24h Volume in M$
62,0.37,0.2,0.0,-0.02,-0.19,0.5,0.06,-0.21,0.68,0.7,2023-01-03 14:30:04.256083,24h Change in %
63,322480.0,149000.0,66240.0,44740.0,39320.0,17440.0,16480.0,9510.0,8790.0,6840.0,2023-01-03 14:30:04.261841,Market Cap in M$
64,16832.36,1228.52,1.02,1.0,249.04,0.3494,0.9999,0.07244,0.2577,0.7953,2023-01-03 15:00:04.696266,Price in $
