,time,crypto,pos,neg,neu,count
101,2023-01-03 23:00:08.376252,Ethereum,41,5,54,100
102,2023-01-03 23:00:08.418941,Tether,44,12,41,97
103,2023-01-03 23:00:08.476833,USD Coin,39,15,46,100
104,2023-01-03 23:00:08.519043,BNB,42,7,51,100
105,2023-01-03 23:00:08.553616,XRP,35,14,51,100
106,2023-01-03 23:00:08.597791,Binance USD,17,33,50,100
107,2023-01-03 23:00:08.638499,Dogecoin,48,11,41,100
108,2023-01-03 23:00:08.679670,Cardano,56,8,36,100
109,2023-01-03 23:00:08.731492,Polygon,58,5,37,100
110,2023-01-04 00:30:09.456922,Bitcoin,53,5,41,99
111,2023-01-04 00:30:09.501912,Ethereum,33,5,62,100
112,2023-01-04 00:30:09.547269,Tether,44,20,34,98
113,2023-01-04 00:30:09.604671,USD Coin,38,14,48,100
114,2023-01-04 00:30:09.649288,BNB,43,19,38,100
115,2023-01-04 00:30:09.683208,XRP,33,7,60,100
116,2023-01-04 00:30:09.727524,Binance USD,16,32,52,100
117,2023-01-04 00:30:09.770600,Dogecoin,49,7,43,99
118,2023-01-04 00:30:09.812257,Cardano,51,13,34,98
119,2023-01-04 00:30:09.862068,Polygon,52,11,35,98
120,2023-01-04 01:00:11.373438,Bitcoin,51,13,36,100
121,2023-01-04 01:00:11.415101,Ethereum,51,4,45,100
122,2023-01-04 01:00:11.460066,Tether,45,19,35,99
123,2023-01-04 01:00:11.517111,USD Coin,37,18,45,100
124,2023-01-04 01:00:11.559893,BNB,41,8,51,100
125,2023-01-04 01:00:11.592104,XRP,21,8,71,100
126,2023-01-04 01:00:11.637340,Binance USD,19,29,52,100
127,2023-01-04 01:00:11.680691,Dogecoin,53,6,39,98
128,2023-01-04 01:00:11.721181,Cardano,45,13,42,100
129,2023-01-04 01:00:11.777312,Polygon,77,7,16,100
130,2023-01-04 03:00:10.539968,Bitcoin,44,13,43,100
131,2023-01-04 03:00:10.586622,Ethereum,40,3,57,100
132,2023-01-04 03:00:10.631500,Tether,26,8,65,99
133,2023-01-04 03:00:10.687473,USD Coin,33,21,46,100
134,2023-01-04 03:00:10.742800,BNB,78,5,17,100
135,2023-01-04 03:00:10.782730,XRP,38,15,47,100
136,2023-01-04 03:00:10.829194,Binance USD,13,38,49,100
137,2023-01-04 03:00:10.870352,Dogecoin,49,12,39,100
138,2023-01-04 03:00:10.906338,Cardano,33,10,57,100
139,2023-01-04 03:00:10.950799,Polygon,50,14,36,100
140,2023-01-04 03:30:07.721899,Bitcoin,56,7,37,100
141,2023-01-04 03:30:07.762971,Ethereum,44,3,53,100
142,2023-01-04 03:30:07.807613,Tether,34,9,56,99
143,2023-01-04 03:30:07.863046,USD Coin,32,21,47,100
144,2023-01-04 03:30:07.916447,BNB,73,5,22,100
145,2023-01-04 03:30:07.954548,XRP,45,4,51,100
146,2023-01-04 03:30:08.001348,Binance USD,13,38,49,100
147,2023-01-04 03:30:08.038945,Dogecoin,45,8,47,100
148,2023-01-04 03:30:08.081018,Cardano,47,19,34,100
149,2023-01-04 03:30:08.128194,Polygon,59,9,32,100
150,2023-01-04 06:00:11.797778,Bitcoin,54,17,29,100
151,2023-01-04 06:00:11.839772,Ethereum,45,5,50,100
152,2023-01-04 06:00:11.886040,Tether,50,14,36,100
153,2023-01-04 06:00:11.942497,USD Coin,29,24,47,100
154,2023-01-04 06:00:12.001002,BNB,76,2,22,100
155,2023-01-04 06:00:12.036225,XRP,36,12,52,100
156,2023-01-04 06:00:12.083939,Binance USD,12,45,43,100
157,2023-01-04 06:00:12.122802,Dogecoin,55,8,37,100
158,2023-01-04 06:00:12.162669,Cardano,56,8,36,100
159,2023-01-04 06:00:12.216097,Polygon,68,4,28,100
160,2023-01-04 07:30:08.175866,Bitcoin,47,7,46,100
161,2023-01-04 07:30:08.216321,Ethereum,55,3,42,100
162,2023-01-04 07:30:08.259543,Tether,41,13,46,100
163,2023-01-04 07:30:08.314925,USD Coin,30,24,46,100
164,2023-01-04 07:30:08.366337,BNB,73,5,22,100
165,2023-01-04 07:30:08.403668,XRP,71,7,22,100
166,2023-01-04 07:30:08.451876,Binance USD,12,42,46,100
167,2023-01-04 07:30:08.494829,Dogecoin,53,11,36,100
168,2023-01-04 07:30:08.538390,Cardano,52,15,33,100
169,2023-01-04 07:30:08.587365,Polygon,49,7,44,100
170,2023-01-04 08:30:06.889641,Bitcoin,48,7,45,100
171,2023-01-04 08:30:06.927039,Ethereum,47,10,43,100
172,2023-01-04 08:30:06.970322,Tether,48,11,41,100
173,2023-01-04 08:30:07.025835,USD Coin,25,25,50,100
174,2023-01-04 08:30:07.081976,BNB,70,1,29,100
175,2023-01-04 08:30:07.119356,XRP,41,8,51,100
176,2023-01-04 08:30:07.168133,Binance USD,12,48,40,100
177,2023-01-04 08:30:07.209986,Dogecoin,39,2,59,100
